glacier,start,end
Frambreen,1872,1901
Rechechebreen,,
Scottbreen,,
Kjerulfbreen,1898,1908
Fritjovbreen,1896,1911
Aldegondabreen,,
Gullybreen,1872,1907
Gravnesbreen,1872,1896
Buchanbreen,1872,1902
M Lovenbreen,1892,1907
V Lovenbreen,1892,1907
A Lovenbreen,1892,1907
Comfortlessbreen,,
Antoniabreen,,
Birgerbreen,1872,1907
Nordenskioldbreen,1896,1908
Tunabreen,1896,1908
Paulabreen,1897,1914
Gaesbreen,,
Renardbreen,,
Andrebreen,,
N Franklinbreen,,
Hayesbreen,,
Monacobreen,,
Blomstrandbreen,,
Liliehookbreen,1907,1912
Alkhornsbreen,1864,1898
Gronfjordbreen,1864,1898
